k,start,end
34,1977-09-07,1978-01-20
34,1979-09-26,1980-03-21
34,1983-03-29,1983-10-14
34,1990-12-20,1991-06-21
34,1994-11-10,1995-06-02
34,1996-08-29,1997-01-31
34,1997-02-19,1997-08-05
34,1997-09-09,1998-03-27
34,1998-10-26,1999-05-07
34,2002-10-17,2003-03-20
34,2003-04-02,2003-07-04
34,2004-01-29,2004-07-02
34,2005-10-18,2006-05-11
34,2011-09-06,2012-01-27
34,2013-10-22,2014-05-09
34,2014-05-21,2014-12-05
34,2014-12-17,2015-07-03
34,2019-01-16,2019-06-28
